epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,359.58,1.23277,1.484,1.12446,0.90805,0.78374,0.83279,0.5024,1.31804,1.25853,1.19452,0.000664437,0.000664437,0.000664437
2,761.73,1.24648,0.82501,1.12964,0.94626,0.89683,0.94859,0.59075,1.2452,0.73316,1.17472,0.00127839,0.00127839,0.00127839
3,1148.13,1.23443,0.74395,1.13225,0.93305,0.87381,0.93312,0.56853,1.25511,0.7819,1.17509,0.00183955,0.00183955,0.00183955
4,1584.29,1.22649,0.71299,1.12274,0.94866,0.89444,0.93527,0.61187,1.18307,0.6604,1.11348,0.0017624,0.0017624,0.0017624
5,1998.34,1.19108,0.65966,1.10635,0.96676,0.92321,0.94929,0.61638,1.21771,0.60683,1.13158,0.0016832,0.0016832,0.0016832
6,2423.52,1.17296,0.62303,1.09424,0.95374,0.91628,0.95029,0.61519,1.20769,0.58825,1.12799,0.001604,0.001604,0.001604
7,2833.82,1.15037,0.61025,1.0793,0.95327,0.92698,0.96414,0.64855,1.12721,0.55471,1.07599,0.0015248,0.0015248,0.0015248
8,3235.68,1.13365,0.58637,1.07951,0.96548,0.9323,0.96629,0.66014,1.12294,0.52767,1.06957,0.0014456,0.0014456,0.0014456
9,3607.24,1.12116,0.56587,1.0674,0.96891,0.92937,0.96475,0.66308,1.1168,0.51594,1.07311,0.0013664,0.0013664,0.0013664
10,4032.78,1.11191,0.55647,1.06214,0.97514,0.93398,0.9715,0.6516,1.12597,0.50866,1.08304,0.0012872,0.0012872,0.0012872
11,4431.81,1.10414,0.54112,1.05805,0.97155,0.94854,0.96811,0.6757,1.07534,0.48894,1.06373,0.001208,0.001208,0.001208
12,4793.27,1.09485,0.52933,1.05546,0.97279,0.94365,0.97143,0.66809,1.09948,0.48192,1.07045,0.0011288,0.0011288,0.0011288
13,5185.69,1.08238,0.52018,1.05002,0.97053,0.94089,0.97072,0.68094,1.07815,0.47103,1.05188,0.0010496,0.0010496,0.0010496
14,5582.63,1.07487,0.51282,1.04494,0.9829,0.93968,0.97315,0.67231,1.08068,0.47462,1.06672,0.0009704,0.0009704,0.0009704
15,5994.94,1.04856,0.49175,1.0365,0.98499,0.93747,0.97534,0.68104,1.07332,0.44809,1.04718,0.0008912,0.0008912,0.0008912
16,6433.05,1.04146,0.45992,1.05072,0.97371,0.94286,0.97499,0.68658,1.05997,0.45167,1.04556,0.000812,0.000812,0.000812
17,7165.42,1.02949,0.44452,1.04465,0.96722,0.95714,0.97203,0.68601,1.0593,0.43833,1.04372,0.0007328,0.0007328,0.0007328
18,7573.45,1.02286,0.4371,1.04073,0.97545,0.94603,0.97322,0.68928,1.05636,0.4358,1.03376,0.0006536,0.0006536,0.0006536
19,7967.43,1.0046,0.4284,1.03138,0.98375,0.94048,0.97651,0.69045,1.04455,0.43712,1.038,0.0005744,0.0005744,0.0005744
20,8352.33,0.996,0.41491,1.0265,0.97242,0.95159,0.97586,0.6881,1.03945,0.42538,1.04037,0.0004952,0.0004952,0.0004952
21,8740.65,0.98551,0.40462,1.01979,0.96789,0.95702,0.97607,0.69538,1.03841,0.41984,1.02748,0.000416,0.000416,0.000416
22,9121.61,0.97104,0.39286,1.01235,0.98169,0.95238,0.97549,0.69749,1.02163,0.41182,1.02528,0.0003368,0.0003368,0.0003368
23,9492.7,0.9604,0.38311,1.00853,0.98273,0.94834,0.97705,0.70062,1.02151,0.40283,1.02266,0.0002576,0.0002576,0.0002576
24,9868.2,0.94881,0.37381,1.00129,0.97062,0.95714,0.97781,0.70345,1.01707,0.39215,1.02125,0.0001784,0.0001784,0.0001784
25,10237.4,0.93818,0.36441,0.9978,0.96884,0.96249,0.97879,0.69958,1.02216,0.39504,1.02368,9.92e-05,9.92e-05,9.92e-05
