epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.751,0.97721,3.98682,1.3364,0.41509,0.23256,0.13083,0.10238,0.82688,3.22124,1.26145,5.45441e-05,5.45441e-05,5.45441e-05
2,318.829,0.88541,2.61255,1.2957,0.40407,0.35227,0.33945,0.25652,0.85724,2.25171,1.42153,0.000104886,0.000104886,0.000104886
3,481.664,0.85211,1.92697,1.28829,0.55743,0.47926,0.49299,0.38718,0.79606,1.56006,1.41293,0.000150898,0.000150898,0.000150898
4,649.103,0.81613,1.55071,1.25587,0.61613,0.57365,0.56601,0.45024,0.77507,1.19089,1.39575,0.000144517,0.000144517,0.000144517
5,810.957,0.7837,1.36555,1.22401,0.64113,0.58863,0.59041,0.47107,0.75284,1.07337,1.28688,0.000138022,0.000138022,0.000138022
6,973.251,0.77099,1.23786,1.21057,0.6588,0.58841,0.61648,0.48889,0.75656,0.97314,1.31074,0.000131528,0.000131528,0.000131528
7,1134.62,0.75141,1.14112,1.19517,0.70776,0.59366,0.62299,0.49975,0.74357,0.87354,1.29642,0.000125034,0.000125034,0.000125034
8,1298.77,0.74367,1.09405,1.18771,0.76561,0.62575,0.65696,0.5209,0.74675,0.83372,1.27282,0.000118539,0.000118539,0.000118539
9,1459.06,0.73505,1.03543,1.17772,0.76954,0.64535,0.66985,0.52853,0.73255,0.73946,1.24277,0.000112045,0.000112045,0.000112045
10,1613.73,0.72861,0.98857,1.16448,0.81734,0.61869,0.6841,0.53921,0.73097,0.72835,1.25198,0.00010555,0.00010555,0.00010555
11,1770.01,0.72349,0.95257,1.1628,0.75997,0.67062,0.65881,0.52894,0.72112,0.68448,1.21563,9.9056e-05,9.9056e-05,9.9056e-05
12,1920.2,0.71273,0.90159,1.15308,0.70689,0.64638,0.67292,0.53786,0.73021,0.65249,1.2224,9.25616e-05,9.25616e-05,9.25616e-05
13,2069.74,0.70888,0.87543,1.14883,0.77183,0.66161,0.67149,0.53674,0.71648,0.60281,1.19781,8.60672e-05,8.60672e-05,8.60672e-05
14,2219.67,0.70355,0.85093,1.1459,0.82055,0.63834,0.67024,0.54104,0.70381,0.57607,1.19024,7.95728e-05,7.95728e-05,7.95728e-05
15,2369.36,0.70194,0.83137,1.14198,0.76618,0.68335,0.67753,0.55336,0.70712,0.55998,1.18068,7.30784e-05,7.30784e-05,7.30784e-05
16,2516.9,0.5736,0.54346,1.14454,0.79397,0.6618,0.683,0.54055,0.71838,0.54642,1.1848,6.6584e-05,6.6584e-05,6.6584e-05
17,2663.86,0.56635,0.48127,1.13493,0.8102,0.6654,0.69118,0.55367,0.70236,0.5165,1.16677,6.00896e-05,6.00896e-05,6.00896e-05
18,2810.08,0.553,0.45173,1.1307,0.81067,0.64514,0.6976,0.55455,0.70295,0.50517,1.16675,5.35952e-05,5.35952e-05,5.35952e-05
19,2956.48,0.5528,0.42646,1.12355,0.78763,0.68491,0.70498,0.55896,0.69641,0.47821,1.15639,4.71008e-05,4.71008e-05,4.71008e-05
20,3103.42,0.54364,0.40812,1.11594,0.74515,0.71838,0.69737,0.55292,0.69231,0.45449,1.15422,4.06064e-05,4.06064e-05,4.06064e-05
21,3250.56,0.53914,0.39174,1.10894,0.76776,0.69891,0.71817,0.56712,0.69169,0.44473,1.14742,3.4112e-05,3.4112e-05,3.4112e-05
22,3395.34,0.53344,0.37819,1.10239,0.79901,0.70091,0.72866,0.56944,0.68878,0.42837,1.1463,2.76176e-05,2.76176e-05,2.76176e-05
23,3539.4,0.53024,0.36923,1.09963,0.8291,0.68383,0.72287,0.57227,0.68837,0.4218,1.14504,2.11232e-05,2.11232e-05,2.11232e-05
24,3683.11,0.52815,0.36019,1.09121,0.83598,0.68275,0.72162,0.57018,0.68659,0.42491,1.14152,1.46288e-05,1.46288e-05,1.46288e-05
25,3830.22,0.52428,0.35288,1.09158,0.82873,0.68692,0.72327,0.57139,0.68414,0.41233,1.14024,8.1344e-06,8.1344e-06,8.1344e-06
