epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1002.19,2.107,3.25162,1.81271,0.43362,0.23547,0.19213,0.07669,2.13248,2.91448,1.88615,0.000332824,0.000332824,0.000332824
2,2009.67,2.0223,2.49994,1.72422,0.45279,0.24945,0.21427,0.09174,2.10306,2.77802,1.86695,0.000639778,0.000639778,0.000639778
3,2975,1.99547,2.39493,1.71183,0.29822,0.27093,0.23186,0.10024,2.09337,2.55553,1.84343,0.000920331,0.000920331,0.000920331
4,3945.14,1.97838,2.31514,1.68671,0.54238,0.30314,0.28103,0.12388,1.98975,2.28824,1.73396,0.0008812,0.0008812,0.0008812
5,4930.04,1.92624,2.2306,1.64725,0.41304,0.31538,0.31238,0.14248,1.94501,2.29603,1.72452,0.0008416,0.0008416,0.0008416
6,5911.55,1.897,2.15928,1.62668,0.59172,0.34077,0.34779,0.1526,1.91799,2.13311,1.68621,0.000802,0.000802,0.000802
7,6867.51,1.8715,2.10435,1.6021,0.56855,0.34515,0.34517,0.15809,1.89413,2.08959,1.6525,0.0007624,0.0007624,0.0007624
8,7831.56,1.8548,2.06571,1.59147,0.47702,0.36597,0.37938,0.17777,1.85788,2.05416,1.64962,0.0007228,0.0007228,0.0007228
9,8734.49,1.82955,2.02505,1.57389,0.45611,0.38364,0.39442,0.18681,1.81549,1.99524,1.61856,0.0006832,0.0006832,0.0006832
10,9637.31,1.81315,1.98217,1.56233,0.50946,0.39385,0.40891,0.19538,1.81571,1.92259,1.61725,0.0006436,0.0006436,0.0006436
11,10648.1,1.79828,1.94606,1.55079,0.59814,0.39129,0.40828,0.1929,1.80142,1.91778,1.59524,0.000604,0.000604,0.000604
12,11575.1,1.78546,1.92632,1.5394,0.53781,0.4101,0.42876,0.20615,1.77618,1.83751,1.57311,0.0005644,0.0005644,0.0005644
13,12492.3,1.77231,1.90072,1.52701,0.5244,0.41357,0.44055,0.21217,1.77392,1.83304,1.562,0.0005248,0.0005248,0.0005248
14,13485.1,1.75968,1.87909,1.51735,0.52662,0.42074,0.45232,0.21892,1.76484,1.78504,1.55777,0.0004852,0.0004852,0.0004852
15,14501.9,1.74928,1.84634,1.50863,0.52753,0.42986,0.46423,0.225,1.75699,1.77543,1.56889,0.0004456,0.0004456,0.0004456
16,15396.2,1.7416,1.76506,1.54314,0.57251,0.43644,0.47777,0.23415,1.74107,1.73111,1.54543,0.000406,0.000406,0.000406
17,16258.2,1.72459,1.73176,1.53748,0.56109,0.45178,0.48174,0.23841,1.72933,1.70276,1.5436,0.0003664,0.0003664,0.0003664
18,17136.4,1.7083,1.69902,1.5232,0.56261,0.45447,0.49539,0.2456,1.72544,1.66782,1.52869,0.0003268,0.0003268,0.0003268
19,18048.7,1.69597,1.66772,1.51754,0.58114,0.46451,0.49924,0.24816,1.72262,1.64848,1.53311,0.0002872,0.0002872,0.0002872
20,18958.7,1.68016,1.63571,1.49936,0.57414,0.45752,0.50358,0.25039,1.72094,1.63518,1.5196,0.0002476,0.0002476,0.0002476
21,19872.6,1.6645,1.60417,1.48915,0.59004,0.47492,0.50793,0.25344,1.71911,1.6172,1.51784,0.000208,0.000208,0.000208
22,20763.2,1.65553,1.58946,1.48162,0.57428,0.47418,0.51304,0.2574,1.71262,1.60522,1.51229,0.0001684,0.0001684,0.0001684
23,21632.5,1.63987,1.5595,1.47372,0.59594,0.48198,0.51683,0.25868,1.70826,1.59535,1.51222,0.0001288,0.0001288,0.0001288
24,22488.1,1.63112,1.53783,1.46626,0.59959,0.47132,0.51714,0.26124,1.70732,1.58536,1.50825,8.92e-05,8.92e-05,8.92e-05
25,23442.5,1.61628,1.51852,1.45459,0.58504,0.47914,0.51979,0.26025,1.7113,1.5799,1.51047,4.96e-05,4.96e-05,4.96e-05
